"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Trim58","MGI:2684862","6","increased mean corpuscular volume::abnormal kidney morphology::enlarged kidney::abnormal skin morphology::enlarged lymph nodes::abnormal lymph node morphology"
"Trim55","MGI:3036269","3","decreased heart rate::prolonged RR interval::decreased fasting circulating glucose level"
"Trim56","MGI:2685298","8","decreased circulating cholesterol level::decreased regulatory T cell number::decreased circulating HDL cholesterol level::decreased circulating iron level::increased grip strength::decreased circulating glucose level::increased circulating iron level::decreased body length"
"Kdm5c","MGI:99781","1","preweaning lethality, complete penetrance"
"Kdm5b","MGI:1922855","3","absent pinna reflex::preweaning lethality, incomplete penetrance::decreased body length"
"Kdm5a","MGI:2136980","1","preweaning lethality, complete penetrance"
"Dennd5b","MGI:2444273","29","decreased heart rate::abnormal retina blood vessel morphology::increased circulating alkaline phosphatase level::decreased bone mineral content::improved glucose tolerance::abnormal seminal vesicle morphology::decreased exploration in new environment::abnormal sternum morphology::decreased circulating triglyceride level::increased lymphocyte cell number::decreased circulating cholesterol level::decreased circulating HDL cholesterol level::abnormal spleen morphology::cataract::prolonged QT interval::decreased circulating glucose level::decreased prepulse inhibition::increased lean body mass::abnormal retina vasculature morphology::decreased bone mineral density::abnormal bone structure::corneal opacity::decreased circulating total protein level::prolonged RR interval::increased grip strength::decreased red blood cell distribution width::decreased total body fat amount::increased leukocyte cell number::prolonged PR interval"
"Ccdc166","MGI:1925902","2","decreased leukocyte cell number::abnormal auditory brainstem response"
"Trim61","MGI:2387432","5","small liver::abnormal liver morphology::abnormal kidney morphology::small kidney::abnormal caudal vertebrae morphology"
"Gosr2","MGI:1927204","4","preweaning lethality, complete penetrance::abnormal gait::increased circulating amylase level::increased circulating fructosamine level"
"Tanc2","MGI:2444121","14","increased circulating phosphate level::increased circulating alkaline phosphatase level::hyperactivity::short tibia::abnormal behavior::decreased prepulse inhibition::impaired glucose tolerance::abnormal bone structure::decreased circulating total protein level::decreased thigmotaxis::increased grip strength::increased exploration in new environment::abnormal locomotor behavior::decreased respiratory quotient"
"Larp4b","MGI:106330","3","increased circulating insulin level::decreased hemoglobin content::increased mean platelet volume"
"Dnpep","MGI:1278328","2","increased circulating creatinine level::increased mean platelet volume"
"Wnt11","MGI:101948","7","abnormal kidney morphology::enlarged heart::abnormal testis morphology::abnormal uterus morphology::hydrometra::small testis::abnormal heart morphology"
"Gna11","MGI:95766","8","increased red blood cell distribution width::thrombocytopenia::vertebral fusion::decreased mean corpuscular volume::decreased hemoglobin content::short tibia::decreased erythrocyte cell number::decreased hematocrit"
"Armh4","MGI:1914669","3","enlarged spleen::increased grip strength::abnormal gait"
"Armcx1","MGI:1925498","5","enlarged heart::decreased exploration in new environment::enlarged lymph nodes::abnormal lymph node morphology::abnormal heart morphology"
"Gna15","MGI:95770","16","enlarged spleen::abnormal liver morphology::abnormal spleen morphology::microphthalmia::abnormal ovary morphology::abnormal eye morphology::abnormal testis morphology::enlarged testis::enlarged ovary::abnormal skin morphology::enlarged liver::enlarged heart::enlarged uterus::abnormal uterus morphology::small heart::abnormal heart morphology"
"Nxn","MGI:109331","34","preweaning lethality, complete penetrance::abnormal cranium morphology::abnormal retina blood vessel morphology::increased fasting circulating glucose level::increased mean corpuscular hemoglobin concentration::increased circulating alkaline phosphatase level::short tibia::abnormal eyelid morphology::anophthalmia::decreased exploration in new environment::irregularly shaped pupil::no spontaneous movement::abnormal digit morphology::abnormal head size::small adrenal glands::facial cleft::preweaning lethality, incomplete penetrance::abnormal embryo size::abnormal craniofacial morphology::increased circulating triglyceride level::increased effector memory CD8-positive, alpha-beta T cell number::abnormal facial morphology::abnormal snout morphology::abnormal head shape::unresponsive to tactile stimuli::abnormal freezing behavior::decreased locomotor activity::increased circulating HDL cholesterol level::cleft palate::abnormal optic disk morphology::abnormal eye anterior chamber depth::abnormal locomotor behavior::decreased cardiac muscle contractility::abnormal mammary gland morphology"
"Armcx3","MGI:1918953","1","preweaning lethality, complete penetrance"
"Trim29","MGI:1919419","3","increased grip strength::decreased total body fat amount::increased lean body mass"
"Gna13","MGI:95768","4","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::abnormal visceral yolk sac morphology::abnormal embryo size"
"Nexmif","MGI:2148050","21","enlarged urinary bladder::increased mean corpuscular volume::increased monocyte cell number::hyperactivity::decreased bone mineral content::small kidney::increased mean corpuscular hemoglobin::increased eosinophil cell number::decreased lean body mass::increased neutrophil cell number::impaired contextual conditioning behavior::abnormal skin morphology::male infertility::increased red blood cell distribution width::increased circulating triglyceride level::abnormal sternum morphology::small spleen::increased blood urea nitrogen level::increased total body fat amount::increased basophil cell number::decreased body length"
"Spopl","MGI:1924107","1","abnormal vertebral arch morphology"
"Kdm2b","MGI:1354737","6","decreased heart left ventricle size::decreased circulating serum albumin level::decreased circulating glucose level::decreased lymphocyte cell number::increased neutrophil cell number::decreased circulating phosphate level"
"Trim25","MGI:102749","1","impaired glucose tolerance"
"Armh3","MGI:1918867","1","increased grip strength"
"Lamb3","MGI:99915","4","abnormal tooth morphology::increased kidney weight::developmental dysplasia/Tooth - MPATH process term::abnormal skin morphology"
"Tnfsf18","MGI:2673064","1","increased hematocrit"
"Ccdc159","MGI:1914369","1","male infertility"
"Dennd2c","MGI:3036254","2","abnormal urinary bladder morphology::cystolithiasis"
"Dennd2d","MGI:2181193","2","decreased prepulse inhibition::preweaning lethality, incomplete penetrance"
"Amtn","MGI:1918671","7","hyperplasia/Spleen - MPATH pathological process term::abnormal spleen morphology::small kidney::lymphoid hyperplasia/Lymph node - MPATH pathological entity term::small spleen::hyperplasia/Lymph node - MPATH pathological process term::lymphoid hyperplasia/Spleen - MPATH pathological entity term"
"Lamb1","MGI:96743","2","preweaning lethality, complete penetrance::decreased lean body mass"
"Ugp2","MGI:2183447","2","preweaning lethality, complete penetrance::hemorrhage"
"Spatc1l","MGI:1923823","1","decreased circulating creatinine level"
"Trim39","MGI:1890659","14","increased fasting circulating glucose level::abnormal gait::abnormal retina morphology::absent vibrissae::abnormal vibrissa morphology::increased neutrophil cell number::corneal opacity::abnormal optic disk morphology::increased large unstained cell number::corneal vascularization::decreased locomotor activity::fused cornea and lens::decreased fasting circulating glucose level::abnormal auditory brainstem response"
"Atp6v1a","MGI:1201780","3","preweaning lethality, complete penetrance::increased bone mineral content::abnormal retina inner nuclear layer morphology"
"Trim37","MGI:2153072","19","decreased mean platelet volume::increased fasting circulating glucose level::decreased leukocyte cell number::decreased bone mineral content::improved glucose tolerance::decreased lymphocyte cell number::abnormal retina morphology::decreased bone mineral density::abnormal bone structure::decreased lean body mass::male infertility::decreased heart left ventricle size::increased grip strength::female infertility::decreased red blood cell distribution width::thin ventricular wall::abnormal auditory brainstem response::increased total body fat amount::increased basophil cell number"
"Trim35","MGI:1914104","4","decreased anxiety-related response::preweaning lethality, incomplete penetrance::abnormal auditory brainstem response::increased total body fat amount"
"Kdm3b","MGI:1923356","5","abnormal sternum morphology::decreased exploration in new environment::preweaning lethality, incomplete penetrance::abnormal skin morphology::decreased body length"
"Trim33","MGI:2137357","3","preweaning lethality, complete penetrance::enlarged lymph nodes::corneal opacity"
"Kdm3a","MGI:98847","18","hypoplasia/Testis - MPATH pathological process term::eye hemorrhage::abnormal kidney morphology::decreased bone mineral content::small kidney::decreased prepulse inhibition::impaired glucose tolerance::abnormal bone structure::hyperplasia/Lymph node - MPATH pathological process term::lymphoid hyperplasia/Spleen - MPATH pathological entity term::abnormal skin morphology::male infertility::hyperplasia/Spleen - MPATH pathological process term::enlarged heart::small spleen::lymphoid hyperplasia/Lymph node - MPATH pathological entity term::decreased anxiety-related response::abnormal heart morphology"
"Trim31","MGI:2385051","1","abnormal retina blood vessel morphology"
"Ccdc141","MGI:1919735","1","decreased locomotor activity"
"Lamc3","MGI:1344394","2","increased grip strength::thrombocytopenia"
"Atp6v1f","MGI:1913394","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
